games, numTurns, whoWon, yourStrat, CardsInDeck
735,15,player 2,opp Guess,8
736,8,player 2,opp Guess,22
737,14,player 2,opp Guess,10
738,12,player 2,opp Guess,14
739,17,player 1,opp Guess,4
740,6,player 2,opp Guess,26
741,7,player 2,opp Guess,24
742,19,player 1,opp Guess,0
743,14,player 1,opp Guess,10
744,19,player 1,opp Guess,0
745,19,player 2,opp Guess,0
746,19,player 2,opp Guess,0
747,16,player 2,opp Guess,6
748,6,player 2,opp Guess,26
749,14,player 2,opp Guess,10
750,19,player 2,opp Guess,0
751,8,player 1,opp Guess,22
752,4,player 1,opp Guess,30
753,19,player 2,opp Guess,0
754,13,player 2,opp Guess,12
755,7,player 2,opp Guess,24
756,19,player 1,opp Guess,0
757,19,player 1,opp Guess,0
758,19,player 2,opp Guess,0
759,15,player 2,opp Guess,8
760,19,player 2,opp Guess,0
761,10,player 2,opp Guess,18
762,15,player 2,opp Guess,8
763,3,player 2,opp Guess,32
764,7,player 1,opp Guess,24
765,8,player 2,opp Guess,22
766,11,player 1,opp Guess,16
767,5,player 2,opp Guess,28
768,8,player 1,opp Guess,22
769,19,player 1,opp Guess,0
770,19,player 2,opp Guess,0
771,6,player 1,opp Guess,26
772,3,player 1,opp Guess,32
773,6,player 1,opp Guess,26
774,6,player 1,opp Guess,26
775,10,player 2,opp Guess,18
776,19,player 2,opp Guess,0
777,19,player 2,opp Guess,0
778,19,player 2,opp Guess,0
779,19,player 2,opp Guess,0
780,19,player 1,opp Guess,0
781,8,player 1,opp Guess,22
782,4,player 2,opp Guess,30
783,4,player 2,opp Guess,30
784,8,player 2,opp Guess,22
785,10,player 2,opp Guess,18
786,12,player 2,opp Guess,14
787,19,player 2,opp Guess,0
788,19,player 2,opp Guess,0
789,19,player 2,opp Guess,0
790,19,player 2,opp Guess,0
791,6,player 1,opp Guess,26
792,19,player 1,opp Guess,0
793,7,player 2,opp Guess,24
794,14,player 2,opp Guess,10
795,5,player 2,opp Guess,28
796,13,player 2,opp Guess,12
797,5,player 2,opp Guess,28
798,3,player 2,opp Guess,32
799,19,player 2,opp Guess,0
800,18,player 1,opp Guess,2
801,19,player 2,opp Guess,0
802,6,player 2,opp Guess,26
803,6,player 1,opp Guess,26
804,15,player 2,opp Guess,8
805,11,player 2,opp Guess,16
806,19,player 1,opp Guess,0
807,19,player 2,opp Guess,0
808,11,player 2,opp Guess,16
809,19,player 1,opp Guess,0
810,7,player 2,opp Guess,24
811,8,player 2,opp Guess,22
812,12,player 1,opp Guess,14
813,19,player 1,opp Guess,0
814,19,player 2,opp Guess,0
815,19,player 2,opp Guess,0
816,17,player 2,opp Guess,4
817,19,player 2,opp Guess,0
818,4,player 2,opp Guess,30
819,19,player 2,opp Guess,0
820,5,player 2,opp Guess,28
821,6,player 2,opp Guess,26
822,7,player 2,opp Guess,24
823,8,player 2,opp Guess,22
824,10,player 2,opp Guess,18
825,19,player 1,opp Guess,0
826,16,player 2,opp Guess,6
827,10,player 2,opp Guess,18
828,8,player 1,opp Guess,22
829,15,player 1,opp Guess,8
830,19,player 1,opp Guess,0
831,7,player 2,opp Guess,24
832,6,player 2,opp Guess,26
833,19,player 2,opp Guess,0
834,9,player 2,opp Guess,20
835,9,player 2,opp Guess,20
836,5,player 2,opp Guess,28
837,7,player 2,opp Guess,24
838,19,player 2,opp Guess,0
839,19,player 2,opp Guess,0
840,19,player 1,opp Guess,0
841,14,player 1,opp Guess,10
842,19,player 2,opp Guess,0
843,6,player 2,opp Guess,26
844,14,player 2,opp Guess,10
845,6,player 2,opp Guess,26
846,13,player 2,opp Guess,12
847,17,player 2,opp Guess,4
848,19,player 2,opp Guess,0
849,4,player 2,opp Guess,30
850,3,player 2,opp Guess,32
851,7,player 2,opp Guess,24
852,12,player 2,opp Guess,14
853,4,player 2,opp Guess,30
854,2,player 2,opp Guess,34
855,11,player 2,opp Guess,16
856,14,player 2,opp Guess,10
857,4,player 2,opp Guess,30
858,8,player 1,opp Guess,22
859,19,player 2,opp Guess,0
860,19,player 1,opp Guess,0
861,19,player 2,opp Guess,0
862,19,player 2,opp Guess,0
863,11,player 2,opp Guess,16
864,6,player 1,opp Guess,26
865,19,player 1,opp Guess,0
